SaleID,CustomerID,ProductID,SaleDate,Quantity,UnitPrice,TotalPrice,PaymentMethod,Discount,SalesRepID,StoreID
1,176,201,2024-06-01,2,50,100,Credit Card,0.05,301,1
2,58,202,2024-06-02,1,120,120,Cash,0.0,302,2
3,110,203,2024-06-03,3,30,90,Credit Card,0.1,303,1
4,145,204,2024-06-04,1,75,75,Cash,0.0,304,3
5,88,205,2024-06-05,2,100,200,Credit Card,0.0,305,2
6,7,206,2024-06-06,1,150,150,Cash,0.0,306,1
7,139,207,2024-06-07,4,25,100,Credit Card,0.05,307,3
8,35,208,2024-06-08,2,80,160,Cash,0.0,308,2
9,192,209,2024-06-09,1,200,200,Credit Card,0.0,309,1
10,60,210,2024-06-10,3,50,150,Cash,0.0,310,3
11,77,211,2024-06-11,2,90,180,Credit Card,0.0,311,2
12,53,212,2024-06-12,1,120,120,Cash,0.1,312,1
13,183,213,2024-06-13,5,40,200,Credit Card,0.0,313,3
14,92,214,2024-06-14,1,60,60,Cash,0.0,314,2
15,119,215,2024-06-15,2,70,140,Credit Card,0.05,315,1
16,86,216,2024-06-16,3,100,300,Cash,0.0,316,3
17,123,217,2024-06-17,1,150,150,Credit Card,0.0,317,2
18,26,218,2024-06-18,4,45,180,Cash,0.0,318,1
19,144,219,2024-06-19,2,85,170,Credit Card,0.0,319,3
20,1,220,2024-06-20,1,110,110,Cash,0.1,320,2
21,32,221,2024-06-21,3,60,180,Credit Card,0.0,321,1
22,176,222,2024-06-22,2,130,260,Cash,0.0,322,3
23,154,223,2024-06-23,1,75,75,Credit Card,0.05,323,2
24,61,224,2024-06-24,5,35,175,Cash,0.0,324,1
25,158,225,2024-06-25,2,95,190,Credit Card,0.0,325,3
26,106,226,2024-06-26,1,180,180,Cash,0.0,326,2
27,155,227,2024-06-27,4,55,220,Credit Card,0.0,327,1
28,157,228,2024-06-28,3,70,210,Cash,0.0,328,3
29,37,229,2024-06-29,1,120,120,Credit Card,0.1,329,2
30,145,230,2024-06-30,2,85,170,Cash,0.0,330,1
